PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,PASSES_MADE,PASSES_RECEIVED,AST,FT_AST,SECONDARY_AST,POTENTIAL_AST,AST_POINTS_CREATED,AST_ADJ,AST_TO_PASS_PCT,AST_TO_PASS_PCT_ADJ,SEASON,PT_MEASURE,MIN1,DIST_FEET,DIST_MILES,DIST_MILES_OFF,DIST_MILES_DEF,AVG_SPEED,AVG_SPEED_OFF,AVG_SPEED_DEF,OREB,OREB_CONTEST,OREB_UNCONTEST,OREB_CONTEST_PCT,OREB_CHANCES,OREB_CHANCE_PCT,OREB_CHANCE_DEFER,OREB_CHANCE_PCT_ADJ,AVG_OREB_DIST,DREB,DREB_CONTEST,DREB_UNCONTEST,DREB_CONTEST_PCT,DREB_CHANCES,DREB_CHANCE_PCT,DREB_CHANCE_DEFER,DREB_CHANCE_PCT_ADJ,AVG_DREB_DIST,REB,REB_CONTEST,REB_UNCONTEST,REB_CONTEST_PCT,REB_CHANCES,REB_CHANCE_PCT,REB_CHANCE_DEFER,REB_CHANCE_PCT_ADJ,AVG_REB_DIST,DRIVES,DRIVE_FGM,DRIVE_FGA,DRIVE_FG_PCT,DRIVE_FTM,DRIVE_FTA,DRIVE_FT_PCT,DRIVE_PTS,DRIVE_PTS_PCT,DRIVE_PASSES,DRIVE_PASSES_PCT,DRIVE_AST,DRIVE_AST_PCT,DRIVE_TOV,DRIVE_TOV_PCT,DRIVE_PF,DRIVE_PF_PCT
203078,Bradley Beal,1610612764,WAS,72,40,32,34.6,37.6,50.3,3.4,0.3,0.6,6.1,7.7,4.2,0.089,0.111,2013-14,Passing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201148,Brandan Wright,1610612742,DAL,58,36,22,18.6,14.0,12.7,0.5,0.1,0.1,1.6,1.5,0.7,0.038,0.049,2013-14,Passing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101138,Brandon Bass,1610612738,BOS,82,25,57,27.6,26.0,23.2,1.1,0.1,0.1,2.5,2.7,1.3,0.041,0.049,2013-14,Passing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203561,Brandon Davies,1610612755,PHI,51,15,36,11.3,13.7,9.8,0.5,0.1,0.1,1.4,1.4,0.7,0.04,0.05,2013-14,Passing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201943,Brandon Jennings,1610612765,DET,80,28,52,34.1,60.3,71.8,7.6,1.0,0.8,15.3,17.9,9.4,0.126,0.157,2013-14,Passing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202688,Brandon Knight,1610612749,MIL,72,13,59,33.3,59.5,73.7,4.9,0.5,0.7,10.3,11.6,6.0,0.082,0.1,2013-14,Passing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201575,Brandon Rush,1610612762,UTA,38,13,25,11.0,10.6,10.1,0.6,0.0,0.1,1.6,1.5,0.7,0.059,0.067,2013-14,Passing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203148,Brian Roberts,1610612740,NOP,72,28,44,23.2,39.3,46.8,3.3,0.5,0.2,6.8,8.2,4.0,0.083,0.101,2013-14,Passing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201572,Brook Lopez,1610612751,BKN,17,7,10,31.4,21.2,28.4,0.9,0.2,0.2,2.5,2.9,1.4,0.044,0.064,2013-14,Passing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201957,Byron Mullens,1610612755,PHI,45,16,29,9.2,12.1,9.2,0.3,0.0,0.1,0.6,0.8,0.4,0.026,0.031,2013-14,Passing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
